Category,State or City,Number of Suicides,Percentage Share in Total Suicides,Projected Mid-Year Population(in Lakh),Rate of Suicides,Year
City,THIRUVANANTHAPURAM,319,1.5,16.9,18.9,2018
City,TIRUCHIRAPPALLI,193,0.9,10.2,18.9,2018
State,TAMIL NADU,13896,10.3,754.6,18.4,2018
State,TRIPURA,720,0.5,39.6,18.2,2018
City,SURAT,816,3.8,45.9,17.8,2018
State,KARNATAKA,11561,8.6,654.5,17.7,2018
City,VISHAKHAPATNAM,290,1.4,17.3,16.8,2018
State,GOA,256,0.2,15.3,16.7,2018
City,KANPUR,480,2.2,29.2,16.4,2018
State,MEGHALAYA,189,0.1,11.8,16,2018
City,COIMBATORE,340,1.6,21.5,15.8,2018
City,JAIPUR,481,2.2,30.7,15.7,2018
City,CHANDIGARH (CITY),160,0.7,10.3,15.5,2018
State,MAHARASHTRA,17972,13.4,1213.9,14.8,2018
City,DELHI (CITY),2369,11.1,163.2,14.5,2018
State,MADHYA PRADESH,11775,8.8,814.7,14.5,2018
State,WEST BENGAL,13255,9.9,965,13.7,2018
Union Territory,CHANDIGARH,160,0.1,11.7,13.7,2018
Union Territory,DELHI (UT),2526,1.9,195.6,12.9,2018
City,PUNE,639,3,50.5,12.7,2018
City,NASIK,198,0.9,15.6,12.7,2018
State,HARYANA,3547,2.6,284,12.5,2018
City,KOZHIKODE,253,1.2,20.3,12.5,2018
City,LUDHIANA,194,0.9,16.1,12,2018
State,GUJARAT,7793,5.8,673.2,11.6,2018
City,KOTA,114,0.5,10,11.4,2018
City,AHMEDABAD,706,3.3,63.5,11.1,2018
City,FARIDABAD,149,0.7,14.1,10.6,2018
State,ODISHA,4592,3.4,435.5,10.5,2018
City,JODHPUR,118,0.6,11.4,10.4,2018
State,ANDHRA PRADESH,5319,4,520.3,10.2,2018
State,HIMACHAL PRADESH,740,0.6,72.7,10.2,2018
City,VADODARA,183,0.9,18.2,10.1,2018
City,KANNUR,156,0.7,16.4,9.5,2018
City,LUCKNOW,263,1.2,29,9.1,2018
State,ARUNACHAL PRADESH,132,0.1,14.9,8.9,2018
Union Territory,DAMAN & DIU,35,0,4,8.8,2018
City,KOCHI,179,0.8,21.2,8.4,2018
City,GHAZIABAD,183,0.9,23.6,7.8,2018
City,JAMSHEDPUR,105,0.5,13.4,7.8,2018
City,MALAPPURAM,125,0.6,17,7.4,2018
State,ASSAM,2379,1.8,340.4,7,2018
City,HYDERABAD,536,2.5,77.5,6.9,2018
City,AGRA,113,0.5,17.5,6.5,2018
City,MUMBAI,1174,5.5,184.1,6.4,2018
State,PUNJAB,1714,1.3,297,5.8,2018
State,RAJASTHAN,4333,3.2,765.9,5.7,2018
City,AMRITSAR,66,0.3,11.8,5.6,2018
Union Territory,LAKSHADWEEP,3,0,0.7,4.3,2018
City,PATNA,77,0.4,20.5,3.8,2018
State,UTTARAKHAND,421,0.3,110.6,3.8,2018
State,JHARKHAND,1317,1,370.5,3.6,2018
State,JAMMU & KASHMIR,330,0.2,134.3,2.5,2018
State,MIZORAM,79,0.1,32,2.5,2018
State,UTTAR PRADESH,4849,3.6,2230,2.2,2018
City,VARANASI,27,0.1,14.4,1.9,2018
State,MANIPUR,52,0,30.8,1.7,2018
State,NAGALAND,36,0,21.3,1.7,2018
City,KOLKATA,162,0.8,141.1,1.1,2018
City,SRINAGAR,12,0.1,12.7,0.9,2018
State,BIHAR,443,0.3,1183.3,0.4,2018
City,MEERUT,6,0,14.3,0.4,2018
City,ALLAHABAD,0,0,12.2,0,2018
Union Territory,A & N ISLANDS,181,0.1,4,45.5,2019
City,KOLLAM,457,2,11.1,41.2,2019
City,ASANSOL,469,2.1,12.4,37.8,2019
City,DURG BHILAINAGAR,376,1.7,10.6,35.5,2019
State,SIKKIM,220,0.2,6.7,33.1,2019
Union Territory,PUDUCHERRY,493,0.4,15.2,32.5,2019
City,RAJKOT,416,1.9,13.9,29.9,2019
City,RAIPUR,332,1.5,11.2,29.6,2019
City,INDORE,618,2.8,21.7,28.5,2019
City,CHENNAI,2461,11,87,28.3,2019
City,GWALIOR,295,1.3,11,26.8,2019
State,CHHATTISGARH,7629,5.5,288.5,26.4,2019
City,NAGPUR,636,2.8,25,25.4,2019
City,BENGALURU,2081,9.3,85,24.5,2019
State,KERALA,8556,6.1,351.9,24.3,2019
City,JABALPUR,302,1.3,12.7,23.8,2019
City,AURANGABAD,283,1.3,11.9,23.8,2019
City,MADURAI,345,1.5,14.6,23.6,2019
City,NASIK,366,1.6,15.6,23.5,2019
City,THRISSUR,405,1.8,18.6,21.8,2019
City,DHANBAD,257,1.1,12,21.4,2019
City,VASAI VIRAR,254,1.1,12.2,20.8,2019
State,TELANGANA,7675,5.5,372.8,20.6,2019
City,THIRUVANANTHAPURAM,331,1.5,16.9,19.6,2019
City,BHOPAL,353,1.6,18.8,18.8,2019
City,FARIDABAD,265,1.2,14.1,18.8,2019
City,TIRUCHIRAPPALLI,188,0.8,10.2,18.4,2019
State,TRIPURA,728,0.5,40,18.2,2019
City,VIJAYAWADA,267,1.2,14.9,17.9,2019
State,TAMIL NADU,13493,9.7,758.1,17.8,2019
City,SURAT,795,3.6,45.9,17.3,2019
State,KARNATAKA,11288,8.1,659.7,17.1,2019
Union Territory,D & N HAVELI,95,0.1,5.6,17.1,2019
City,KANPUR,492,2.2,29.2,16.8,2019
State,GOA,259,0.2,15.4,16.8,2019
City,VISHAKHAPATNAM,280,1.3,17.3,16.2,2019
City,LUDHIANA,254,1.1,16.1,15.8,2019
City,COIMBATORE,338,1.5,21.5,15.7,2019
State,MAHARASHTRA,18916,13.6,1225.3,15.4,2019
State,MADHYA PRADESH,12457,9,826.1,15.1,2019
City,DELHI (CITY),2423,10.8,163.2,14.8,2019
State,HARYANA,4191,3,288.1,14.5,2019
City,JAIPUR,441,2,30.7,14.4,2019
City,PUNE,719,3.2,50.5,14.2,2019
City,KOTA,136,0.6,10,13.6,2019
State,WEST BENGAL,12665,9.1,971.1,13,2019
Union Territory,DELHI (UT),2526,1.8,199.4,12.7,2019
City,KOZHIKODE,258,1.2,20.3,12.7,2019
City,JODHPUR,145,0.6,11.4,12.7,2019
City,CHANDIGARH (CITY),131,0.6,10.3,12.7,2019
State,ANDHRA PRADESH,6465,4.6,523.2,12.4,2019
City,AHMEDABAD,763,3.4,63.5,12,2019
City,VADODARA,218,1,18.2,12,2019
State,GUJARAT,7655,5.5,682.5,11.2,2019
Union Territory,CHANDIGARH,131,0.1,11.8,11.1,2019
Union Territory,DAMAN & DIU,46,0,4.2,10.9,2019
State,ODISHA,4582,3.3,437.3,10.5,2019
City,KOCHI,222,1,21.2,10.5,2019
City,KANNUR,148,0.7,16.4,9,2019
City,LUCKNOW,254,1.1,29,8.8,2019
City,JAMSHEDPUR,108,0.5,13.4,8.1,2019
State,HIMACHAL PRADESH,584,0.4,73.2,8,2019
State,PUNJAB,2357,1.7,299.4,7.9,2019
City,AGRA,129,0.6,17.5,7.4,2019
State,ARUNACHAL PRADESH,112,0.1,15.1,7.4,2019
State,ASSAM,2370,1.7,344.2,6.9,2019
City,MUMBAI,1229,5.5,184.1,6.7,2019
City,AMRITSAR,78,0.3,11.8,6.6,2019
State,MEGHALAYA,198,0.1,32.3,6.1,2019
City,MALAPPURAM,101,0.5,17,5.9,2019
State,MIZORAM,70,0.1,12,5.9,2019
State,RAJASTHAN,4531,3.3,776,5.8,2019
City,GHAZIABAD,132,0.6,23.6,5.6,2019
City,HYDERABAD,389,1.7,77.5,5,2019
City,RANCHI,57,0.3,11.3,5,2019
State,UTTARAKHAND,516,0.4,111.8,4.6,2019
City,PATNA,92,0.4,20.5,4.5,2019
State,JHARKHAND,1646,1.2,375.8,4.4,2019
City,VARANASI,49,0.2,14.4,3.4,2019
City,MEERUT,38,0.2,14.3,2.7,2019
City,ALLAHABAD,31,0.1,12.2,2.5,2019
State,UTTAR PRADESH,5464,3.9,2259.7,2.4,2019
State,JAMMU & KASHMIR,284,0.2,135.3,2.1,2019
State,MANIPUR,58,0,31.1,1.9,2019
State,NAGALAND,41,0,21.6,1.9,2019
City,KOLKATA,181,0.8,141.1,1.3,2019
State,BIHAR,641,0.5,1201.1,0.5,2019
City,SRINAGAR,2,0,12.7,0.2,2019
Union Territory,LAKSHADWEEP,0,0,0.7,0,2019
Union Territory,A & N ISLANDS,180,0.1,4.0,45.0,2020
City,KOLLAM,488,2,11.1,44,2020
State,SIKKIM,285,0.2,6.7,42.5,2020
City,RAJKOT,433,1.8,13.9,31.2,2020
City,DURG BHILAINAGAR,325,1.4,10.6,30.7,2020
City,RAIPUR,336,1.4,11.2,30,2020
City,INDORE,644,2.7,21.7,29.7,2020
City,CHENNAI,2430,10.2,87,27.9,2020
City,NAGPUR,685,2.9,25,27.4,2020
City,GWALIOR,293,1.2,11,26.6,2020
City,ASANSOL,329,1.4,12.4,26.5,2020
State,CHHATTISGARH,7710,5.0,292.4,26.4,2020
Union Territory,PUDUCHERRY,408,0.3,15.5,26.3,2020
City,BENGALURU,2196,9.2,85,25.8,2020
City,VASAI VIRAR,309,1.3,12.2,25.3,2020
State,KERALA,8500,5.6,353.7,24.0,2020
City,MADURAI,347,1.5,14.6,23.8,2020
City,AURANGABAD,270,1.1,11.9,22.7,2020
State,TAMIL NADU,16883,11.0,761.7,22.2,2020
City,BHOPAL,416,1.7,18.8,22.1,2020
City,FARIDABAD,312,1.3,14.1,22.1,2020
City,LUDHIANA,355,1.5,16.1,22,2020
City,VIJAYAWADA,324,1.4,14.9,21.7,2020
State,TELANGANA,8058,5.3,375.4,21.5,2020
City,THRISSUR,394,1.7,18.6,21.2,2020
State,TRIPURA,845,0.6,40.4,20.9,2020
City,COIMBATORE,443,1.9,21.5,20.6,2020
City,NASIK,313,1.3,15.6,20.1,2020
State,GOA,308,0.2,15.5,19.9,2020
City,JABALPUR,242,1,12.7,19.1,2020
City,SURAT,869,3.6,45.9,18.9,2020
City,THIRUVANANTHAPURAM,317,1.3,16.9,18.8,2020
City,DELHI (CITY),3025,12.7,163.2,18.5,2020
State,KARNATAKA,12259,8.0,665.0,18.4,2020
City,VISHAKHAPATNAM,306,1.3,17.3,17.7,2020
State,MADHYA PRADESH,14578,9.5,837.6,17.4,2020
City,TIRUCHIRAPPALLI,177,0.7,10.2,17.4,2020
City,KOTA,173,0.7,10,17.3,2020
City,JAIPUR,505,2.1,30.7,16.4,2020
State,MAHARASHTRA,19909,13.0,1236.8,16.1,2020
Union Territory,DAMAN & DIU,3142,2.1,203.2,15.5,2020
Union Territory,D & N HAVELI,156,0.1,10.4,15.0,2020
City,VADODARA,270,1.1,18.2,14.8,2020
City,PUNE,736,3.1,50.5,14.6,2020
City,KANPUR,417,1.7,29.2,14.3,2020
City,AHMEDABAD,871,3.7,63.5,13.7,2020
State,HARYANA,4001,2.6,292.1,13.7,2020
State,WEST BENGAL,13103,8.6,977.2,13.4,2020
State,ANDHRA PRADESH,7043,4.6,526.0,13.4,2020
City,KOCHI,285,1.2,21.2,13.4,2020
City,LUCKNOW,383,1.6,29,13.2,2020
City,JODHPUR,147,0.6,11.4,12.9,2020
City,CHANDIGARH (CITY),128,0.5,10.3,12.4,2020
State,ODISHA,5546,3.6,454.7,12.2,2020
City,KOZHIKODE,243,1,20.3,12,2020
State,GUJARAT,8050,5.3,691.7,11.6,2020
State,HIMACHAL PRADESH,857,0.6,73.6,11.6,2020
Union Territory,CHANDIGARH,128,0.1,12.0,10.7,2020
State,ARUNACHAL PRADESH,160,0.1,15.2,10.5,2020
City,DHANBAD,124,0.5,12,10.3,2020
City,KANNUR,156,0.7,16.4,9.5,2020
State,ASSAM,3243,2.1,347.9,9.3,2020
State,MIZORAM,108,0.1,12.1,8.9,2020
State,PUNJAB,2616,1.7,301.8,8.7,2020
State,UTTARAKHAND,943,0.6,113.1,8.3,2020
City,RANCHI,94,0.4,11.3,8.3,2020
City,AMRITSAR,97,0.4,11.8,8.2,2020
City,JAMSHEDPUR,105,0.4,13.4,7.8,2020
State,RAJASTHAN,5658,3.7,786.1,7.2,2020
City,MUMBAI,1282,5.4,184.1,7,2020
State,MEGHALAYA,224,0.1,32.6,6.9,2020
City,MALAPPURAM,115,0.5,17,6.8,2020
City,AGRA,115,0.5,17.5,6.6,2020
State,JHARKHAND,2145,1.4,381.2,5.6,2020
City,GHAZIABAD,129,0.5,23.6,5.5,2020
City,HYDERABAD,398,1.7,77.5,5.1,2020
City,PATNA,103,0.4,20.5,5,2020
Union Territory,JAMMU & KASHMIR,12,0.0,3.0,4.0,2020
City,VARANASI,47,0.2,14.4,3.3,2020
City,ALLAHABAD,40,0.2,12.2,3.3,2020
Union Territory,LAKSHADWEEP,2,0.0,0.7,2.9,2020
Union Territory,DELHI (UT),287,0.2,133.4,2.2,2020
State,NAGALAND,48,0.0,21.8,2.2,2020
State,UTTAR PRADESH,4804,3.1,2289.3,2.1,2020
City,MEERUT,30,0.1,14.3,2.1,2020
City,KOLKATA,278,1.2,141.1,2,2020
State,MANIPUR,44,0.0,31.4,1.4,2020
State,BIHAR,809,0.5,1219,0.7,2020
City,SRINAGAR,6,0,12.7,0.5,2020
