proid,CATEGORY,CURRENT STATUS,DIV,ESTIMATE AMOUNT  (LAKHS),LOCATION,PROJECT NAME,SOURCE OF FUND,ZONE,YearProposed,YearComplete,PROJECT DEPARTMENT
2695,OTHER BUILDING,WORK IN EXECUTION,93,4.36,PILAYAR KOIL STREET PADIKUPPAM MAIN ROAD,IMPROVEMENTS TO EXISTING BUILDING AT PILAYAR KOIL STREET PADIKUPPAM MAIN ROAD IN DN 93 UNIT - 20 ZONE - VII,OWN SOURCES,7,2021-22,NA,Zonal
2696,OTHER BUILDING,WORK IN EXECUTION,86,12.5,PERIYA COLONY ATHIPET,IMPROVEMENTS TO EXISTING BURIAL GROUND AT PERIYA COLONY ATHIPET IN DN 86 UNIT 19 ZONE VII,OWN SOURCES,7,2021-22,NA,Zonal
2697,OTHER BUILDING,WORK IN EXECUTION,86,10.9,NEHRU NAGAR MANNURPET,IMPROVEMENTS TO EXISTING BURIAL GROUND AT NEHRU NAGAR MANNURPET IN DN 86 UNIT 19 ZONE VI,OWN SOURCES,7,2021-22,NA,Zonal
2698,OTHER BUILDING,WORK IN EXECUTION,79,1.95,KALAIVANAR NAGAR,PROPOSED CONSTRUCTION OF TOILET FACILITY IN EXISTING ICDS AT KALAIVANAR NAGAR IN DIVISION 79 UNIT 18 ZONE VII,OWN SOURCES,7,2021-22,NA,Zonal
2699,OTHER BUILDING,WORK IN EXECUTION,86,2,VELLALAR STREET,PROPOSED CONSTRUCTION OF TOILET FACILITY IN EXISTING ICDS AT VELLALAR STREET CENTRE NO 33603150313 IN DIVISION 86 UNIT 19 ZONE VII,OWN SOURCES,7,2021-22,NA,Zonal
2700,PARKS MAINTENANCE,WORK IN EXECUTION,79,21.42,LENIN NAGAR PARK RAM NAGAR PARK  GANDHI MAIN ROAD PARK LAKSHMIAMMAN NAGAR PARK AND BHARATHI NAGAR PARK,ANNUAL MAINTENANCE FOR LENIN NAGAR PARK RAM NAGAR PARK  GANDHI MAIN ROAD PARK LAKSHMIAMMAN NAGAR PARK AND BHARATHI NAGAR PARK IN DIVISION 79 AND 80 UNIT 18 ZONE 7 (P1),OWN SOURCES,7,2021-22,NA,Zonal
2701,PARKS MAINTENANCE,WORK IN EXECUTION,80,22.03,THANGAL ERI PARK,ANNUAL MAINTENANCE FOR THANGAL ERI PARK IN DIVISION  80 UNIT 18 ZONE 7 (P2),OWN SOURCES,7,2021-22,NA,Zonal
2703,PARKS MAINTENANCE,WORK IN EXECUTION,81,23.76,THIRUVENKADAM NAGAR PARK  KRISHNAPURAM PARK AND SECRETRIATE COLONY PARK,ANNUAL MAINTENANCE FOR THIRUVENKADAM NAGAR PARK  KRISHNAPURAM PARK AND SECRETRIATE COLONY PARK IN DIVISION 81 UNIT 18 ZONE 7 (P3),OWN SOURCES,7,2021-22,NA,Zonal
2704,PARKS MAINTENANCE,WORK IN EXECUTION,82,19.15,HINDUSTAN COLONY PARK  CTH ROAD KOCHAR PARK AND AP FLATS CHILDRENS PARK,ANNUAL MAINTENANCE FOR HINDUSTAN COLONY PARK  CTH ROAD KOCHAR PARK AND AP FLATS CHILDRENS PARK IN DIVISION 82 86 AND 88UNIT 18 AND 19 ZONE 7 (P4),OWN SOURCES,7,2021-22,NA,Zonal
2706,PARKS MAINTENANCE,WORK IN EXECUTION,83,24.13,"RANGA GARDEN PARK  SASTHA NAGAR PARK AND THAMARAI KULAM PARK
",ANNUAL MAINTENANCE FOR RANGA GARDEN PARK  SASTHA NAGAR PARK AND THAMARAI KULAM PARK IN DIVISION 83 UNIT 18  ZONE 7 (P5),OWN SOURCES,7,2021-22,NA,Zonal
2707,PARKS MAINTENANCE,WORK IN EXECUTION,83,20.62,SUBULAKSHMI NAGAR PARK AND TNHB 61ST ST PARK,ANNUAL MAINTENANCE FOR SUBULAKSHMI NAGAR PARK AND TNHB 61ST ST PARK IN DIVISION 83 UNIT 18  ZONE 7 (P6),OWN SOURCES,7,2021-22,NA,Zonal
2708,PARKS MAINTENANCE,WORK IN EXECUTION,84,13.96,KR NAGAR PARK AND TNHB 4TH ST PARK,ANNUAL MAINTENANCE FOR KR NAGAR PARK AND TNHB 4TH ST PARK IN DIVISION 84 UNIT 19  ZONE 7 (P7),OWN SOURCES,7,2021-22,NA,Zonal
2709,PARKS MAINTENANCE,WORK IN EXECUTION,86,24.18,SINDHU NATHI PARK CHELLIAMMAN KOIL PARK AND VGN SHANTHI NAGAR PARK,ANNUAL MAINTENANCE FOR SINDHU NATHI PARK CHELLIAMMAN KOIL PARK AND VGN SHANTHI NAGAR PARK IN DIVISION 86 UNIT 19  ZONE 7 (P8),OWN SOURCES,7,2021-22,NA,Zonal
2710,PARKS MAINTENANCE,WORK IN EXECUTION,86,25.26,GOTHAVARI PARK ICICI BANK PARK AND INDIA LAND PARK,ANNUAL MAINTENANCE FOR GOTHAVARI PARK ICICI BANK PARK AND INDIA LAND PARK IN DIVISION 86 UNIT 19  ZONE 7 (P9),OWN SOURCES,7,2021-22,NA,Zonal
2711,PARKS MAINTENANCE,WORK IN EXECUTION,88,25.88,B-SECTOR PARK C-SECTOR PARK AND MILLIENIUM PARK,ANNUAL MAINTENANCE FOR B-SECTOR PARK C-SECTOR PARK AND MILLIENIUM PARK IN DIVISION 88 UNIT 19  ZONE 7 (P10),OWN SOURCES,7,2021-22,NA,Zonal
2712,PARKS MAINTENANCE,WORK IN EXECUTION,89,25.05, OFFICERS COLONY PARK GOLDEN COLONY AND TVS AVENUE MAIN ROAD PARK,ANNUAL MAINTENANCE FOR OFFICERS COLONY PARK GOLDEN COLONY AND TVS AVENUE MAIN ROAD PARK IN DIVISION 89 UNIT 20  ZONE 7 (P11,OWN SOURCES,7,2021-22,NA,Zonal
2713,PARKS MAINTENANCE,WORK IN EXECUTION,89,21.5,AKSHAYA COLONY GOLDEN JUBLEEE PARK AND COLLECTOR NAGAR PARK,ANNUAL MAINTENANCE FOR AKSHAYA COLONY GOLDEN JUBLEEE PARK AND COLLECTOR NAGAR PARK IN DIVISION 89 AND 90 UNIT 20  ZONE 7 (P12),OWN SOURCES,7,2021-22,NA,Zonal
2714,PARKS MAINTENANCE,WORK IN EXECUTION,90,9.68,WELCOME COLONY BLOCK 49-A & PARK ROAD AND MOGAPPAIR ERI SCHEME 8TH ST PARK,ANNUAL MAINTENANCE FOR WELCOME COLONY BLOCK 49-A & PARK ROAD AND MOGAPPAIR ERI SCHEME 8TH ST PARK IN DIVISION 90 AND 91 UNIT 20  ZONE 7 (P13),OWN SOURCES,7,2021-22,NA,Zonal
2715,PARKS MAINTENANCE,WORK IN EXECUTION,90,24.59,ASIAD COLONY JASWANTH NAGAR PHASE-I PARK JASWANTH NAGAR PHASE-II PARK ANDTRI STAR PARK,ANNUAL MAINTENANCE FOR ASIAD COLONY JASWANTH NAGAR PHASE-I PARK JASWANTH NAGAR PHASE-II PARK ANDTRI STAR PARK IN DIVISION 90 AND 91 UNIT 20  ZONE 7 (P14),OWN SOURCES,7,2021-22,NA,Zonal
2716,PARKS MAINTENANCE,WORK IN EXECUTION,92,23.19,TVS COLONY PARK AIBEA NAGAR PARK AND MOGAPPAIR ERI SCHEME 1ST MAIN ROAD PARK,"ANNUAL MAINTENANCE FOR TVS COLONY PARK IN DIV-89, AIBEA NAGAR PARK AND MOGAPPAIR ERI SCHEME 1ST MAIN ROAD PARK  IN DIVISION 92, UNIT 20  ZONE 7 (P15)",OWN SOURCES,7,2021-22,NA,Zonal
2717,PARKS MAINTENANCE,WORK IN EXECUTION,92,16.08,VENUGOPAL STREET PARK CHURCH ROAD PARK AND VARUN APARTMENT PARK,ANNUAL MAINTENANCE FOR VENUGOPAL STREET PARK CHURCH ROAD PARK AND VARUN APARTMENT PARK IN DIVISION 92 UNIT 20  ZONE 7 (P16),OWN SOURCES,7,2021-22,NA,Zonal
2718,PARKS MAINTENANCE,WORK IN EXECUTION,92,23.54,EB ROAD PARK  AND VEERAMAMUNIVAR PARK,ANNUAL MAINTENANCE FOR EB ROAD PARK  AND VEERAMAMUNIVAR PARK IN DIVISION 92 AND 93 UNIT 20  ZONE 7 (P17),OWN SOURCES,7,2021-22,NA,Zonal
2719,PARKS MAINTENANCE,WORK IN EXECUTION,93,10.07,PADI KUPPAM BURIAL GROUND PARK  AND YUGA KALPATARU PARK,ANNUAL MAINTENANCE FOR PADI KUPPAM BURIAL GROUND PARK  AND YUGA KALPATARU PARK IN DIVISION 93 UNIT 20  ZONE 7 (P18),OWN SOURCES,7,2021-22,NA,Zonal
2720,OTHER BUILDING,WORK IN EXECUTION,85,2.17,ZONAL OFFICE CAMPUS,ANNUAL COMPREHENSIVE MAINTENANCE CONTRACT FOR 1 NO OF 100KVA DIESEL GENERATOR AT MTH ROAD ZONAL OFFICE CAMPUS DIVISION 85 ZONE-7 (INCLUDING ALL SPARES AND ALTERNATOR FOR 1 YEAR WITH GST),OWN SOURCES,7,2021-22,NA,Zonal
2729,OTHER BUILDING,WORK IN EXECUTION,85,0.56,ZONAL OFFICE ,AMC CONTRACT FOR 7 NOS OF 1.5 TON SPLIT AIR CONDITIONER AND 5 NOS OF 2 TON SPLIT AIR CONDITIONER  AT ZONAL OFFICE CAMPUS DIVISION 85 ZONE-7,OWN SOURCES,7,2021-22,NA,Zonal
2730,OTHER BUILDING,WORK IN EXECUTION,85,0.56,ZONAL OFFICE ,AMC CONTRACT FOR 7 NOS OF 1.5 TON SPLIT AIR CONDITIONER AND 5 NOS OF 2 TON SPLIT AIR CONDITIONER  AT ZONAL OFFICE CAMPUS DIVISION 85 ZONE-7,OWN SOURCES,7,2021-22,NA,Zonal
2733,OTHER BUILDING,WORK IN EXECUTION,86,15,AMMA UNAVAGAM & CHS ATHIPET VANAGARAM MAIN ROAD,PROPOSED CONSTRUCTION OF BIOGAS PLANT OF CAPACITY 750KG  AT AMMA UNAVAGAM & CHS ATHIPET VANAGARAM MAIN ROAD IN DIVISION 86  UNIT 19  ZONE 7,SBM FUND,7,2021-22,NA,Zonal
2734,OTHER BUILDING,WORK IN EXECUTION,86,15,AMMA UNAVAGAM  NEHRU NAGAR  MANNURPET,PROPOSED CONSTRUCTION OF BIOGAS PLANT OF CAPACITY 750KG  AT AMMA UNAVAGAM  NEHRU NAGAR  MANNURPET IN DIVISION 86  UNIT 19  ZONE 7,SBM FUND,7,2021-22,NA,Zonal
2735,OTHER BUILDING,WORK IN EXECUTION,82,11, MADHANAKUPPAM MAIN ROAD,OPERATION AND ANNUAL MAINTENANCE OF ETP FOR 1 YEAR AND REPAIR WORKS TO EXISTING ETP OF SLAUGHTER HOUSE AT MADHANAKUPPAM MAIN ROAD IN DIVISION 82 UNIT-18 ZONE-7,OWN SOURCES,7,2021-22,NA,Zonal
2736,GASIFIER CREMETORIAM - ERECTION OF EQUIPMENTS,WORK IN EXECUTION,85,17.9,VANAGARAM MAIN ROAD,OPERATION AND MAINTENANCE OF GASIFIER BURIAL GROUND FOR THE PERIOD OF 1 YEAR AT VANAGARAM MAIN ROAD IN DIV 85 UNIT-19 ZONE-7,OWN SOURCES,7,2021-22,NA,Zonal
2737,OTHER BUILDING,WORK IN EXECUTION,82,15.5,MUNUSAMY KOIL STREET,OPERATION AND AMC FOR THE 6TH YEAR PERIOD (2021-22) (RO/UV FILTRATION) OF 2000LITRES/HOUR CAPACITY EXPANDABLES TO 4000LITRES/HOUR CAPACITY (2000LITRES EXPANDABLES INCREMENT OF 2000LITRES/HOURS AND AT MUNUSAMY KOIL STREET IN DIV 82 U18 ZONE 7,OWN SOURCES,7,2021-22,NA,Zonal
2738,OTHER BUILDING,WORK IN EXECUTION,88,12.11,KALAIVANAR NAGAR,OPERATION AND AMC FOR THE 6TH YEAR PERIOD (2021-22) (RO/UV FILTRATION) OF 2000 LITRES/HOUR CAPACITY EXPANDABLES TO 4000LITRES/HOUR CAPACITY (2000 LITRES EXPANDABLES INCREMENT OF 2000LITRES/HOURS AND AT KALAIVANAR NAGAR IN DIV 88 U19 ZONE 7,OWN SOURCES,7,2021-22,NA,Zonal
2739,OTHER BUILDING,WORK IN EXECUTION,89,16.19,THIRUMANGALAM MAIN ROAD,OPERATION AND AMC FOR THE 6TH YEAR PERIOD (2021-22) (RO/UV FILTRATION) OF 2000 LITRES/HOUR CAPACITY EXPANDABLES TO 4000LITRES/HOUR CAPACITY (2000 LITRES EXPANDABLES INCREMENT OF 2000LITRES/HOURS AND AT THIRUMANGALAM MAIN ROAD IN DIV 89 U20 ZONE 7,OWN SOURCES,7,2021-22,NA,Zonal
2740,OTHER BUILDING,WORK IN EXECUTION,92,16.19,SEETHAKATHI SALAI,OPERATION AND AMC FOR THE 6TH YEAR PERIOD (2021-22) (RO/UV FILTRATION) OF 2000 LITRES/HOUR CAPACITY EXPANDABLES TO 4000LITRES/HOUR CAPACITY (2000 LITRES EXPANDABLES INCREMENT OF 2000LITRES/HOURS AND AT SEETHAKATHI SALAI IN DIV 92 U20 ZONE 7,OWN SOURCES,7,2021-22,NA,Zonal
2760,HEALTH BUILDINGS,WORK IN EXECUTION,65,40,GKM COLONY JAMBULINGAM MAIN ROAD,"ADDITIONAL CONSTRUCTION OF SECOND FLOOR UPHC BUILDING IN GKM COLONY JAMBULINGAM MAIN ROAD IN DN-65 U-15 Z-06, (KOLATHUR MLA FUND)",MLACDS,6,2021-22,NA,Zonal
2762,PARKS MAINTENANCE,WORK IN EXECUTION,65,15.1,"R.K SYNDICATE NAGAR PARK,SENTHIL NAGAR 10TH ST PARK, SENTHIL NAGAR 13TH CROSS ST PARK,JANAKIRAM COLONY NAGAR PARK","ANNUAL MAINTANENCE OF R.K SYNDICATE NAGAR PARK,SENTHIL NAGAR 10TH ST PARK, SENTHIL NAGAR 13TH CROSS ST PARK,JANAKIRAM COLONY NAGAR PARK, (FOR ONE YEAR) IN DN 65,UNIT 15, ZONE 6. ",PARKS MAINTENANCE,6,2021-22,NA,Zonal
2765,STORM WATER DRAIN,WORK IN EXECUTION,65,9.5,SRINIVASA NAGAR MAIN ROAD TO VV NAGAR JUNCTION VIA MAKKARAM THOTTAM BURIAL GROUND,"RESTORATION AND IMPROVEMENTS TO EXISTING STORM WATER DRAIN IN SRINIVASA NAGAR MAIN ROAD TO VV NAGAR JUNCTION VIA MAKKARAM THOTTAM BURIAL GROUND IN DN-65,U-15,ZN-06 ",REVENUE FUND,6,2021-22,NA,Zonal
2766,POND RESTORATIONS,WORK IN EXECUTION,65,35,SRINIVASAN NAGAR 6TH CROSS STREET,"PROVIDING DRY REVETMENT BLACK STONE MASONRY WORK AND WALK WAY ON ALL SIDES OF POND IN SRINIVASAN NAGAR 6TH CROSS STREET IN DN-65 U-15 Z-06, ",CAPITAL WORKS,6,2021-22,NA,Zonal
2769,OTHER BUILDING,WORK IN EXECUTION,67,9.5,JEGANATHAN STREET ,PROVIDING ELECTRICAL ARRANGEMENTS AND WATER SUPPLY ARRANGEMENTS FOR NEW EB-SUBSTATION AT JEGANATHAN STREET IN DN-67 U-15 Z-6 ,CAPITAL WORKS,6,2021-22,NA,Zonal
2770,COMPOUND WALL,WORK ORDER ISSUED,114,3.05, VICTORIA HOSTEL ROAD,"PROVIDING GI SHEET FOR CANAL AT VICTORIA HOSTEL ROAD ENTRANCE AND NGT OPPSITE IN DIV-114, U-27,Z-9",OWN SOURCES,9,2021-22,NA,Zonal
2771,OTHER BUILDING,WORK IN EXECUTION,65,47.5,JEGANATHAN STREET ,CONSTRUCTION OF NEW EB-SUBSTATION AT JEGANATHAN STREET IN DN-67 U-15 Z-6 ,CAPITAL WORKS,6,2021-22,NA,Zonal
2772,POND RESTORATIONS,WORK IN EXECUTION,67,45.2,"SUNDARA RAJA PERUMAL KOVIL KULAM, KANAGAR STREET","PROVIDING REVETMENT , FOOTPATH AND OTHER REPAIR WORKS AT SUNDARA RAJA PERUMAL KOVIL KULAM, KANAGAR STREET IN DIVISION-67, UNIT-15, ZONE-06 ",CAPITAL WORKS,6,2021-22,NA,Zonal
2773,PARKS MAINTENANCE,WORK IN EXECUTION,67,25.1,"SAKTHIVEL NAGAR 2ND CROSS STREET,PERIYAR NAGAR 20TH ST PARK, THANTHONRIAMMAN ST ANANDHAN PARK,PEPER MILLS ROAD USSAIN COLONY PARK","ANNUAL MAINTENANCE OF PARK AT SAKTHIVEL NAGAR 2ND CROSS STREET,PERIYAR NAGAR 20TH ST PARK, THANTHONRIAMMAN ST ANANDHAN PARK,PEPER MILLS ROAD USSAIN COLONY PARK (FOR ONE YEAR) IN DN 66,67,68 UNIT -15,16, ZONE 6 ",PARKS MAINTENANCE,6,2021-22,NA,Zonal
2774,OFFICE BUILDINGS,WORK IN EXECUTION,65,24.3,UPHC GKM COLONY MAIN ROAD,"CONSTRUCTION OF LIFT ROOM IN UPHC GKM COLONY MAIN ROAD AT DIV 65, UNIT 15, ZONE-06 ",CAPITAL WORKS,6,2021-22,NA,Zonal
2775,SCHOOL BUILDINGS,WORK IN EXECUTION,110,12.89,CHENNAI BOYS HIGHER SECONDARY SCHOOL AT SCHOOL ROAD,"CONSTRUCTION OF DINNING SHED AND WATER SUPPLY ARRANGEMENTS TO CHENNAI BOYS HIGHER SECONDARY SCHOOL AT SCHOOL ROAD IN DIVISION-110,UNIT-24,ZONE-09 (UNDER MLA FUND)",MLACDS,9,2021-22,NA,Zonal
2776,POND RESTORATIONS,WORK ORDER ISSUED,64,13.3,HARIDOSS NAGAR 1ST STREET,"PROVIDING FOOTPATH AROUND HARIDOSS POND AT HARIDOSS NAGAR 1ST STREET IN DIVISION-64, UNIT-15, ZONE-6. ",CAPITAL WORKS,6,2021-22,NA,Zonal
2777,STORM WATER DRAIN,WORK IN EXECUTION,110,21.65,KODAMBAKKAM  HIGH ROAD BRIDGE NORTH SIDE FROM MADHAVAN SALAI,CONSTRUCTION OF STORM WATER DRAIN OF SIZE 900X1200MM RCC BOX TYPE DRAIN AT KODAMBAKKAM  HIGH ROAD BRIDGE NORTH SIDE FROM MADHAVAN SALAI (140 TO 210 METRE) IN DN-110  UNIT-24  ZONE-9. (UNDER MLA FUND) ,MLACDS,9,2021-22,NA,Zonal
2779,OTHER BUILDING,WORK IN EXECUTION,118,5.38,NALLAN STREET,"IMPROVEMENTS TO THE PUBLIC CONVENIENCE AT NALLAN STREET IN DN-118, UNIT-24, ZONE-9 ",OWN SOURCES,9,2021-22,NA,Zonal
2780,OTHER BUILDING,WORK IN EXECUTION,118,5.79,THOMAIAPPAN STREET,"IMPROVEMENTS TO THE PUBLIC CONVENIENCE AT THOMAIAPPAN STREET IN DN-118, UNIT-24, ZONE-9 ",OWN SOURCES,9,2021-22,NA,Zonal
2781,PARK FORMATION,WORK ORDER ISSUED,64,9.4,THENPALANI NAGAR,"IMPROVEMENT WORKS TO THIRU VI KA PARK AT THENPALANI NAGAR THIRU VI KA STREET IN DN-64, UNIT-15, ZONE-6 ",REVENUE FUND,6,2021-22,NA,Zonal
2782,CONCRETE ROAD,WORK ORDER ISSUED,65,19.7,"BHARATH RAJIV GANDHI NAGAR 1ST, 2ND, 3RD, 4TH , 5TH & THIRUVALLUVAR NAGAR KANNAKI STREET","IMPROVEMENTS TO ROADS USING WMM AT BHARATH RAJIV GANDHI NAGAR 1ST, 2ND, 3RD, 4TH , 5TH & THIRUVALLUVAR NAGAR KANNAKI STREET IN DN-65, UNIT-15, ZONE-6 ",CAPITAL WORKS,6,2021-22,NA,Zonal
2783,OTHER BUILDING,WORK IN EXECUTION,101,9.9,"BHARATHIPURAM UPHC IN DIVISION-101, UNIT-22, ZONE-8.","REPAIR AND IMPROVEMENTS WORKS AT BHARATHIPURAM UPHC IN DIVISION-101, UNIT-22, ZONE-8.
",OWN SOURCES,8,2021-22,NA,Zonal
2784,OTHER BUILDING,WORK IN EXECUTION,101,3.44,"KAMARAJAR STREET AMMA UNAVAGAM IN DIVISION-101, UNIT-22, ZONE-8.
","REPAIR AND IMPROVEMENT WORKS AT KAMARAJAR STREET AMMA UNAVAGAM IN DIVISION-101, UNIT-22, ZONE-8.
",OWN SOURCES,8,2021-22,NA,Zonal
2785,PARKS MAINTENANCE,WORK IN EXECUTION,101,4.85,"2ND MAIN ROAD IN DIVISION-101, UNIT-22, ZONE-8","ANNUAL MAINTENANCE OF PARK AT 2ND MAIN ROAD IN DIVISION-101, UNIT-22, ZONE-8
",OWN SOURCES,8,2021-22,NA,Zonal
2786,PARKS MAINTENANCE,WORK IN EXECUTION,101,7.6,"C-BLOCK, PULLA AVENUE IN DIVISION-101, UNIT-22, ZONE-8","ANNUAL MAINTENANCE OF PARK AT C-BLOCK, PULLA AVENUE IN DIVISION-101, UNIT-22, ZONE-8
",OWN SOURCES,8,2021-22,NA,Zonal
2787,PLAY FIELD - FORMATION,WORK IN EXECUTION,66,29.95,JAWAHAR NAGAR 2ND CROSS STREET,"PROVIDING BASKETBALL COURT ,ELECTRICAL ARRANGEMENTS AND MODERNIZATION OF KABADI COURT TENNIS COURT AND VOLLEYBALL COURT AT JAWAHAR NAGAR 2ND CROSS STREET PLAYGROUND IN DIV-66,UNIT-16,ZONE-6 ",CAPITAL WORKS,6,2021-22,NA,Zonal
2788,PLAY FIELD - FORMATION,WORK IN EXECUTION,66,41.7,SRP COLONY 6TH STREET PLAYGROUND,"PROVIDING OUTDOOR GYM APPARATUS , FOOTBATH ALLAROUND FOOT PLAYGROUND, TENNIS COURT AND VOLLEYBALL COURT AT SRP COLONY 6TH STREET PLAYGROUND IN DIV-66,UNIT-16,ZONE-6 ",CAPITAL WORKS,6,2021-22,NA,Zonal
2789,PARKS MAINTENANCE,WORK IN EXECUTION,66,14.6," JAWAHAR NAGAR 5TH MAIN ROAD PARK,JAWAHAR NAGAR 2ND CIRCULAR ROAD PARK ","ANNUAL MAINTANENCE OF PARK AT JAWAHAR NAGAR 5TH MAIN ROAD PARK,JAWAHAR NAGAR 2ND CIRCULAR ROAD PARK (FOR ONE YEAR) IN DN 66,UNIT 16, ZONE 6. ",PARKS MAINTENANCE,6,2021-22,NA,Zonal
2792,PLAY FIELD - IMPROVEMENTS,WORK IN EXECUTION,68,24.8,SRP KOIL STREET NORTH,"PROVIDING PARK AMENITIES AND CHILDREN S PLAY APPARATUS AT SRP KOIL STREET NORTH IN DIVISION -68, UNIT-16, ZONE-06 
",CAPITAL WORKS,6,2021-22,NA,Zonal
2793,PARK FORMATION,WORK IN EXECUTION,68,14.57,PALLAVAN SALAI,"FORMATION OF HERBAL GARDEN, FOOTPATH AND COMPOUND WALL RAISING IN TUBERCULOSIS CENTRE (TB CENTRE) AT PALLAVAN SALAI IN DIVISION-68, UNIT -16, ZONE - 06. ",CAPITAL WORKS,6,2021-22,NA,Zonal
2794,PLAY FIELD - IMPROVEMENTS,WORK IN EXECUTION,68,22.8,SRP KOIL STREET (NORTH),"CONSTRUCTION OF COMPOUND WALL, ELEVATION, PERGOLA, AND TOILET ROOM FOR PARK AT SRP KOIL STREET (NORTH) IN DIVISION -68, UNIT-16, ZONE-06. ",CAPITAL WORKS,6,2021-22,NA,Zonal
2795,PARK FORMATION,WORK IN EXECUTION,68,24.6,SRP KOIL STREET (NORTH),"FORMATION OF FOOTPATH, GREENERY PROVIDING WATER SUPPLY ARRANGEMENT, INFINITY WALK FOR PARK AT SRP KOIL STREET (NORTH) IN DIVISION -68, UNIT-16, ZONE-06 ",CAPITAL WORKS,6,2021-22,NA,Zonal
2797,OTHER BUILDING,WORK IN EXECUTION,68,21.6, SRP KOVIL STREET (NORTH) ,"PROVIDING GUEST ROOMS FOR BRIDE & GROOM FAMILIES & RELATIVES AT THIRD FLOOR OF SRP KOVIL STREET (NORTH) GREATER CHENNAI CORPORATION MARRIAGE HALL IN DIV-68,UNIT-16,ZONE-6.",CAPITAL WORKS,6,2021-22,NA,Zonal
2798,PLAY FIELD - IMPROVEMENTS,WORK IN EXECUTION,68,12.5,MADURAISAMY MADAM PLAY GROUND,"IMPROVEMENT WORK TO MADURAISAMY MADAM PLAY GROUND AT MADURAISAMY MADAM IN DIVISION- 68, UNIT-16,ZONE-06. ",CAPITAL WORKS,6,2021-22,NA,Zonal
2799,CONCRETE ROAD,WORK IN EXECUTION,68,8,VASUDEVAN MAIN STREET ,"PROVIDING RAIN WATER HARVESTING AT VASUDEVAN MAIN STREET IN DIVISION -68, UNIT-16, ZONE-06. ",REVENUE FUND,6,2021-22,NA,Zonal
2800,PARKS MAINTENANCE,WORK IN EXECUTION,106,6.79,"NELSON MANICKAM ROAD, AMINJIKARAI","ANNUAL MAINTENANCE OF SKY WALK PARK AT NELSON MANICKAM ROAD IN DIVISION-106, UNIT-22, ZONE-8.",OWN SOURCES,8,2021-22,NA,Zonal
2801,HEALTH BUILDINGS,WORK IN EXECUTION,68,49.12,PALLAVAN SALAI,"PROPOSED CONSTRUCTION OF TUBERCULOSIS CENTER (TB CENTER) AT PALLAVAN SALAI IN DIVISION-68, UNIT -16, ZONE - 06. ",CAPITAL WORKS,6,2021-22,NA,Zonal
2803,PARKS MAINTENANCE,WORK IN EXECUTION,106,6.8,"METAL FACTORY ROAD, RAILWAY COLONY, AMINJIKARAI","ANNUAL MAINTENANCE OF PARK AT METAL FACTORY ROAD IN DIVISION-106, UNIT-22, ZONE-8.",OWN SOURCES,8,2021-22,NA,Zonal
2804,OTHER BUILDING,WORK IN EXECUTION,68,12.7,SRP KOVIL STREET (NORTH) ,"PROVIDING TOILET BLOCK ,TERACE FLOORING ,ELECTRICAL ARRANGEMENTS,CUBBOARD & OTHER FURNITURE AMENDIES FOR GUEST ROOMS AT THIRD FLOOR OF SRP KOVIL STREET (NORTH) GREATER CHENNAI CORPORATION MARRIAGE HALL IN DIV-68,UNIT-16,ZONE-6. ",CAPITAL WORKS,6,2021-22,NA,Zonal
2805,PARKS MAINTENANCE,WORK ORDER ISSUED,70,3.64,PADDY FIELD ROAD,"IMPROVEMENT TO ROAD SIDE PARK AT PADDY FIELD ROAD IN DIV-70, UNIT-16, ZONE-06. ",REVENUE FUND,6,2021-22,NA,Zonal
2806,OTHER BUILDING,WORK IN EXECUTION,70,5.88, CHINNAIYA LANE,"REPAIR AND IMPROVEMENTS TO PUBLIC CONVENIENCE AT CHINNAIYA LANE IN DN-70 , UN-16 , ZN-6 ",REVENUE FUND,6,2021-22,NA,Zonal
2807,PARKS MAINTENANCE,WORK IN EXECUTION,70,4.3,VADIVEL 2ND STREET,"IMPROVEMENTS TO VADIVEL PARK AT VADIVEL 2ND STREET IN DIV-70, UNIT-16, ZONE-06 ",REVENUE FUND,6,2021-22,NA,Zonal
2808,PARKS MAINTENANCE,WORK IN EXECUTION,70,17.6,"PERAMBUR HIGH ROAD PARK RAJIV GANDHI PARK, VADIVEL 2ND CROSS ST PARK,KANNABIRAN KOIL ST PARK","ANNUAL MAINTANCE IN PERAMBUR HIGH ROAD PARK RAJIV GANDHI PARK, VADIVEL 2ND CROSS ST PARK,KANNABIRAN KOIL ST PARK, IN DIV - 70 , UNIT - 16 , ZONE - 6 ",PARKS MAINTENANCE,6,2021-22,NA,Zonal
2809,PARKS MAINTENANCE,WORK IN EXECUTION,71,4.95, CHANDRAYOGI SAMATHI STREET,"IMPROVEMENT WORK TO CHANDRAYOGI SAMATHI STREET ROAD SIDE PARK AT CHANDRA YOGI SAMATHI STREET IN DIVISION- 71, UNIT-16, ZONE-06. ",REVENUE FUND,6,2021-22,NA,Zonal
2810,OTHER BUILDING,WORK IN EXECUTION,71,9.8,CHANDRAYOGI SAMATHI ROAD,"REPAIRING AND IMPROVEMENT WORKS TO CHANDRAYOGI SAMATHI ROAD COMMUNITY HALL AT CHANDRAYOGI SAMATHI ROAD IN DIVISION -71, UNIT-16, ZONE-06. ",REVENUE FUND,6,2021-22,NA,Zonal
