proid,CATEGORY,CURRENT STATUS,DIV,ESTIMATE AMOUNT  (LAKHS),EXECUTING DEPARTMENT,PROJECT NAME,SOURCE OF FUND,ZONE,YearProposed,YearComplete,PROJECT DEPARTMENT
3144,LAMP POST,SUPPLY OF LAMP POST,161,196000,ELECTRICAL,"1.	SUPPLY AND ERECTION OF 4 NOS OF 6M GI LAMP POST AT VOC NAGAR MAIN ROAD IN DIVISION 161 ,ZONE 12. ",OWN SOURCES,12,2021-22,NA,Head Office
3145,PAINTING,PAINTING OF LAMP POST,164,916700,ELECTRICAL,PROVISION OF PAINTING OF 1524 NOS OF 6 MTR SINGLE STRAIGHT BRACKET AND 1167 NOS OF 6 MTR SINGLE ARCH BRACKET AND 238 NOS OF 8 MTR SINGLE ARCH BRACKET AND 271 NOS OF 2 MTR SINGLE CURVE POST AND 3200 NO,OWN SOURCES,12,2021-22,NA,Head Office
3146,LAMP POST,ERECTION OF LAMP POST,164,998200,ELECTRICAL,"SUPPLY & ERECTION OF 16 NOS OF 6 MTR GI STREET LAMP POST FOOT PATH OF ARTHANAREESWARAR POND IN NANGANALLUR 4TH MAIN ROAD IN DIVISION 164, ZONE-12 AREA.",OWN SOURCES,12,2021-22,NA,Head Office
3148,PILLAR BOX,ERECTION OF PILLAR BOX,176,198000,ELECTRICAL,"REPLACEMENT OF 5NOS OF DAMAGED PILLAR BOXES AT VARIOUS LOCATIONS IN INDIRA NAGAR SECTION (DIV.176 & 173), ZONE-13.",OWN SOURCES,13,2021-22,NA,Head Office
3150,CABLE LAYING,LAYING OF HDPE PIPE AND CABLE,29,190700,ELECTRICAL,"SUPPLY AND LAYING OF 300 MTRS OF 31/2 X 25 SQMM CABLE IN  CHINNASEKKADU FOR BAILING MACHINE IN DIV 29, ZONE 3     ",CAPITAL WORKS,3,2021-22,NA,Head Office
3153,CABLE LAYING,LAYING OF HDPE PIPE AND CABLE,171,323000,ELECTRICAL,"PROVISION OF REPLACEMENT OF DAMAGED 674 MTRS 2X16 SQ.MM ALU CABLE AT HOSPITAL ROAD, MOSQUE GARDEN, SUBBUPILLAI THOTTAM, SOWBAGHYA AVENUE AND KARUNANIDHI STREET IN DIV-171&172, ZONE -  13 AREA. ",OWN SOURCES,13,2021-22,NA,Head Office
3158,LAMP POST,ERECTION OF LAMP POST,178,3720000,ELECTRICAL,"SUPPLY AND ERECTION OF 82 NOS. OF 6 MTR GI LAMP POST WITH SINGLE ARCH BRACKET AT NEW BRIDGE UPPER SIDE THARAMANI 100 FEET ROAD TO VELACHERY 100 FEET ROAD IN VELACHERY DN 178 & 179, ZONE-13. (DEPOSIT W",DEPOSIT WORKS,13,2021-22,NA,Head Office
3159,LAMP POST,ERECTION OF LAMP POST,182,589000,ELECTRICAL,ERECTION OF 19 NOS OF 6 MTR LAMP POST WITH 1 MTR GI CURVED SINGLE BRACKET AND LAYING OF 541 MTRS OF 2 X 16 SQMM CABLE AT THIRUVEEDHIAMMAN KOIL STREET 1ST LANE TO 6TH LANE AND BAGAVATH SINGH SALAI IN D,OWN SOURCES,13,2021-22,NA,Head Office
3160,LAMP POST,ERECTION OF LAMP POST,171,1060000,ELECTRICAL,"SUPPLY AND ERECTION OF 13 NOS. OF 8 MTR GI LAMP POST WITH SINGLE ARCH	BRACKET AT ANNA SALAI (ELCOT TO NANDANAM SIGNAL) DN 171, ZONE-13. (DEPOSIT	WORK �����������������",DEPOSIT WORKS,13,2021-22,NA,Head Office
3161,CABLE LAYING,LAYING OF HDPE PIPE AND CABLE,186,14155600,ELECTRICAL,"SUPPLY & LAYING  OF 5364 MTRS FOR AVAILING LT SUPPLY FOR RECLAMATION OF PERUNGUDI DUMPING GROUND THROUGH BIO-MINING, ZONE-14 AREA",CAPITAL WORKS,14,2021-22,NA,Head Office
3162,CABLE LAYING,LAYING OF HDPE PIPE AND CABLE,186,20.586,ELECTRICAL,"SUPPLY AND LAYING  OF  108 MTRS OF 4C X 300 SQ.MM CABLE,31/2 X 240 SQ.MM AND 31/2 X 120 SQ.MM,324 MTRS OF 31/2 X 185 SQMM AND 238MTRS OF 4 X 16 SQ MM CABLE FROM GARDEN WASTE MV PANEL TO CONSTRUC",CAPITAL WORKS,14,2021-22,NA,Head Office
